424
4000
0 42.3517 -71.0405
f83464e4-0de8-11e7-991c-3863bb43a7d0 14 42.3401 -71.1006
f834658f-0de8-11e7-991c-3863bb43a7d0 19 42.3454 -71.0696
f83466c6-0de8-11e7-991c-3863bb43a7d0 15 42.3613 -71.0653
f8346768-0de8-11e7-991c-3863bb43a7d0 15 42.3534 -71.0446
f8346803-0de8-11e7-991c-3863bb43a7d0 19 42.3533 -71.1373
f8346894-0de8-11e7-991c-3863bb43a7d0 15 42.3517 -71.1190
f8346a3c-0de8-11e7-991c-3863bb43a7d0 11 42.3504 -71.1083
f8346ad7-0de8-11e7-991c-3863bb43a7d0 15 42.3386 -71.1065
f8346b6f-0de8-11e7-991c-3863bb43a7d0 26 42.3362 -71.0880
f8346c96-0de8-11e7-991c-3863bb43a7d0 25 42.3374 -71.1029
f8346d23-0de8-11e7-991c-3863bb43a7d0 15 42.3615 -71.1378
f8346dbd-0de8-11e7-991c-3863bb43a7d0 19 42.3481 -71.0766
f8346e51-0de8-11e7-991c-3863bb43a7d0 15 42.3643 -71.1183
f8346f6f-0de8-11e7-991c-3863bb43a7d0 15 42.3472 -71.1053
f8347002-0de8-11e7-991c-3863bb43a7d0 23 42.3604 -71.0504
f834708e-0de8-11e7-991c-3863bb43a7d0 18 42.3465 -71.0807
f8347118-0de8-11e7-991c-3863bb43a7d0 47 42.3522 -71.0555
f83471a1-0de8-11e7-991c-3863bb43a7d0 25 42.3589 -71.0576
f834723b-0de8-11e7-991c-3863bb43a7d0 23 42.3515 -71.0444
f83472d3-0de8-11e7-991c-3863bb43a7d0 15 42.3413 -71.0768
f8347361-0de8-11e7-991c-3863bb43a7d0 15 42.3416 -71.0689
f83473ea-0de8-11e7-991c-3863bb43a7d0 23 42.3312 -71.0952
f8347a8b-0de8-11e7-991c-3863bb43a7d0 19 42.3637 -71.1246
f8347b1e-0de8-11e7-991c-3863bb43a7d0 15 42.3346 -71.1041
f8347ba8-0de8-11e7-991c-3863bb43a7d0 19 42.3488 -71.0417
f8347c41-0de8-11e7-991c-3863bb43a7d0 15 42.3437 -71.1024
f8347ccd-0de8-11e7-991c-3863bb43a7d0 26 42.3487 -71.0970
f8347e78-0de8-11e7-991c-3863bb43a7d0 28 42.3499 -71.0774
f8347f09-0de8-11e7-991c-3863bb43a7d0 14 42.3573 -71.1467
f8348021-0de8-11e7-991c-3863bb43a7d0 27 42.3385 -71.0740
f83480a9-0de8-11e7-991c-3863bb43a7d0 19 42.3639 -71.0509
f8348136-0de8-11e7-991c-3863bb43a7d0 27 42.3523 -71.1238
f83481c5-0de8-11e7-991c-3863bb43a7d0 31 42.3521 -71.0705
f834824e-0de8-11e7-991c-3863bb43a7d0 15 42.3571 -71.0507
f83482d2-0de8-11e7-991c-3863bb43a7d0 23 42.3604 -71.0575
f83483f3-0de8-11e7-991c-3863bb43a7d0 19 42.3437 -71.0858
f8348481-0de8-11e7-991c-3863bb43a7d0 19 42.3628 -71.0561
f8348598-0de8-11e7-991c-3863bb43a7d0 18 42.3511 -71.0663
f8348622-0de8-11e7-991c-3863bb43a7d0 15 42.3511 -71.0733
f83486ab-0de8-11e7-991c-3863bb43a7d0 15 42.3351 -71.0790
f83487f0-0de8-11e7-991c-3863bb43a7d0 15 42.3550 -71.0633
f8348857-0de8-11e7-991c-3863bb43a7d0 15 42.3474 -71.0868
f83488be-0de8-11e7-991c-3863bb43a7d0 0 42.3298 -71.0839
f8348924-0de8-11e7-991c-3863bb43a7d0 13 42.3408 -71.0816
f8348995-0de8-11e7-991c-3863bb43a7d0 19 42.3555 -71.0729
f83489ff-0de8-11e7-991c-3863bb43a7d0 19 42.3514 -71.0594
f8348a68-0de8-11e7-991c-3863bb43a7d0 19 42.3608 -71.0712
f8349070-0de8-11e7-991c-3863bb43a7d0 19 42.3488 -71.0824
f834916a-0de8-11e7-991c-3863bb43a7d0 15 42.3440 -71.0574
f834923d-0de8-11e7-991c-3863bb43a7d0 23 42.3478 -71.0454
f83492b4-0de8-11e7-991c-3863bb43a7d0 15 42.3492 -71.1328
f83493c0-0de8-11e7-991c-3863bb43a7d0 27 42.3581 -71.0932
f8349440-0de8-11e7-991c-3863bb43a7d0 19 42.3651 -71.1031
f83494b4-0de8-11e7-991c-3863bb43a7d0 19 42.3416 -71.1233
f834952a-0de8-11e7-991c-3863bb43a7d0 23 42.3722 -71.1219
f8349599-0de8-11e7-991c-3863bb43a7d0 23 42.3836 -71.1085
f8349672-0de8-11e7-991c-3863bb43a7d0 23 42.3622 -71.0831
f8349745-0de8-11e7-991c-3863bb43a7d0 15 42.3733 -71.1210
f83497b9-0de8-11e7-991c-3863bb43a7d0 19 42.3733 -71.1186
f8349824-0de8-11e7-991c-3863bb43a7d0 15 42.3635 -71.1006
f8349b20-0de8-11e7-991c-3863bb43a7d0 17 42.3664 -71.1055
f8349ba9-0de8-11e7-991c-3863bb43a7d0 19 42.3868 -71.0981
f8349c69-0de8-11e7-991c-3863bb43a7d0 19 42.3796 -71.0954
f8349d6e-0de8-11e7-991c-3863bb43a7d0 19 42.3788 -71.1071
f8349de4-0de8-11e7-991c-3863bb43a7d0 35 42.3621 -71.0912
f8349e56-0de8-11e7-991c-3863bb43a7d0 19 42.3524 -71.0627
f8349ed6-0de8-11e7-991c-3863bb43a7d0 15 42.3383 -71.1389
f834a1de-0de8-11e7-991c-3863bb43a7d0 15 42.3671 -71.0768
f834a2a8-0de8-11e7-991c-3863bb43a7d0 19 42.3783 -71.0489
f834a32d-0de8-11e7-991c-3863bb43a7d0 19 42.3327 -71.1163
f834a3a0-0de8-11e7-991c-3863bb43a7d0 15 42.3666 -71.1142
f834a67b-0de8-11e7-991c-3863bb43a7d0 19 42.3790 -71.1199
f834a7d1-0de8-11e7-991c-3863bb43a7d0 19 42.3663 -71.0917
f834a838-0de8-11e7-991c-3863bb43a7d0 19 42.3122 -71.0365
f834a8a0-0de8-11e7-991c-3863bb43a7d0 31 42.3203 -71.0512
f834a959-0de8-11e7-991c-3863bb43a7d0 11 42.3756 -71.0646
f834ab92-0de8-11e7-991c-3863bb43a7d0 15 42.3730 -71.0944
f834abfd-0de8-11e7-991c-3863bb43a7d0 19 42.3734 -71.1111
f834b101-0de8-11e7-991c-3863bb43a7d0 21 42.3692 -71.1169
f834b183-0de8-11e7-991c-3863bb43a7d0 23 42.3718 -71.0603
f834b1ed-0de8-11e7-991c-3863bb43a7d0 15 42.3857 -71.1141
f834b42d-0de8-11e7-991c-3863bb43a7d0 25 42.3970 -71.1230
f834b49d-0de8-11e7-991c-3863bb43a7d0 19 42.3994 -71.1111
f834b50a-0de8-11e7-991c-3863bb43a7d0 15 42.4009 -71.1168
f834b5d9-0de8-11e7-991c-3863bb43a7d0 15 42.3466 -71.1283
f834b652-0de8-11e7-991c-3863bb43a7d0 19 42.3803 -71.1251
f834b8b3-0de8-11e7-991c-3863bb43a7d0 19 42.3572 -71.1139
f834b928-0de8-11e7-991c-3863bb43a7d0 15 42.3253 -71.0754
f834b99d-0de8-11e7-991c-3863bb43a7d0 19 42.3625 -71.0882
f834ba08-0de8-11e7-991c-3863bb43a7d0 17 42.3779 -71.1169
f834bbdd-0de8-11e7-991c-3863bb43a7d0 35 42.3659 -71.0645
f834c5c9-0de8-11e7-991c-3863bb43a7d0 15 42.3764 -71.1140
f834c6f5-0de8-11e7-991c-3863bb43a7d0 15 42.4045 -71.1234
f834c7a9-0de8-11e7-991c-3863bb43a7d0 15 42.4063 -71.1324
f834caf2-0de8-11e7-991c-3863bb43a7d0 15 42.4009 -71.1259
f834cb89-0de8-11e7-991c-3863bb43a7d0 19 42.3880 -71.1191
f834cf45-0de8-11e7-991c-3863bb43a7d0 23 42.3708 -71.1044
f834cfd8-0de8-11e7-991c-3863bb43a7d0 19 42.3661 -71.0863
f834d064-0de8-11e7-991c-3863bb43a7d0 19 42.3978 -71.1305
f834d260-0de8-11e7-991c-3863bb43a7d0 15 42.3357 -71.0388
f834d34b-0de8-11e7-991c-3863bb43a7d0 19 42.3561 -71.0698
f834db9b-0de8-11e7-991c-3863bb43a7d0 17 42.3360 -71.0462
f834dc46-0de8-11e7-991c-3863bb43a7d0 15 42.3457 -71.1007
f834dedf-0de8-11e7-991c-3863bb43a7d0 15 42.3091 -71.1154
f834e1b2-0de8-11e7-991c-3863bb43a7d0 15 42.3218 -71.1098
f834e244-0de8-11e7-991c-3863bb43a7d0 15 42.3157 -71.0986
f834ec42-0de8-11e7-991c-3863bb43a7d0 18 42.3229 -71.1001
f834f036-0de8-11e7-991c-3863bb43a7d0 23 42.3106 -71.1073
f834f6a3-0de8-11e7-991c-3863bb43a7d0 17 42.3448 -71.0287
f834f814-0de8-11e7-991c-3863bb43a7d0 19 42.3448 -71.0316
f834f8ca-0de8-11e7-991c-3863bb43a7d0 19 42.3978 -71.1059
f834f948-0de8-11e7-991c-3863bb43a7d0 15 42.3266 -71.0665
f834fb66-0de8-11e7-991c-3863bb43a7d0 19 42.3618 -71.1081
f834fc57-0de8-11e7-991c-3863bb43a7d0 17 42.3890 -71.1328
f834fcbe-0de8-11e7-991c-3863bb43a7d0 17 42.3636 -71.0822
f834fd36-0de8-11e7-991c-3863bb43a7d0 23 42.3961 -71.1395
f834fda2-0de8-11e7-991c-3863bb43a7d0 23 42.3699 -71.0700
f834fede-0de8-11e7-991c-3863bb43a7d0 19 42.3664 -71.0765
f834ff5a-0de8-11e7-991c-3863bb43a7d0 19 42.3928 -71.1290
f834ffc9-0de8-11e7-991c-3863bb43a7d0 19 42.3364 -71.0237
f8350129-0de8-11e7-991c-3863bb43a7d0 17 42.3645 -71.1284
f8350199-0de8-11e7-991c-3863bb43a7d0 19 42.3441 -71.0526
f8350204-0de8-11e7-991c-3863bb43a7d0 19 42.3582 -71.0522
f835027c-0de8-11e7-991c-3863bb43a7d0 25 42.3459 -71.0632
f835043d-0de8-11e7-991c-3863bb43a7d0 15 42.3904 -71.1086
f8350a84-0de8-11e7-991c-3863bb43a7d0 15 42.3532 -71.0482
f8350b76-0de8-11e7-991c-3863bb43a7d0 15 42.3276 -71.1109
f8350be5-0de8-11e7-991c-3863bb43a7d0 12 42.3376 -71.0963
f8350c56-0de8-11e7-991c-3863bb43a7d0 20 42.3391 -71.0514
f8350cc1-0de8-11e7-991c-3863bb43a7d0 15 42.3098 -71.0922
f8350d30-0de8-11e7-991c-3863bb43a7d0 19 42.3448 -71.0440
f8351019-0de8-11e7-991c-3863bb43a7d0 19 42.3790 -71.0686
f835108b-0de8-11e7-991c-3863bb43a7d0 14 42.3035 -71.0853
f83510fd-0de8-11e7-991c-3863bb43a7d0 23 42.3741 -71.0691
f83511d4-0de8-11e7-991c-3863bb43a7d0 14 42.3106 -71.0539
