1679
16500
0 41.8970 -87.6777 
a3a62566-a135-11e9-9cda-0a87ae2ba916 19 41.8986 -87.6219
a3b148bf-a135-11e9-9cda-0a87ae2ba916 11 41.8802 -87.7553
a3af460f-a135-11e9-9cda-0a87ae2ba916 18 41.9780 -87.6686
a3b13e66-a135-11e9-9cda-0a87ae2ba916 11 41.8721 -87.7466
1879436840905128284 15 41.7389 -87.6955
430d5876-c44d-446e-ac53-065da9fb9c17 12 41.8836 -87.6486
a3b0fae6-a135-11e9-9cda-0a87ae2ba916 15 42.0127 -87.6661
a3afd294-a135-11e9-9cda-0a87ae2ba916 15 41.9452 -87.7066
a3ae87fa-a135-11e9-9cda-0a87ae2ba916 23 42.0010 -87.6612
a60781db-2bec-4a15-a4a2-363297aefcec 15 41.7616 -87.6442
a3ac7444-a135-11e9-9cda-0a87ae2ba916 15 41.8994 -87.6485
a3a547b8-a135-11e9-9cda-0a87ae2ba916 15 41.7809 -87.5763
1871993715238611622 15 41.9169 -87.7672
a3b29fae-a135-11e9-9cda-0a87ae2ba916 11 41.7466 -87.5860
a3af5d1c-a135-11e9-9cda-0a87ae2ba916 15 42.0086 -87.6905
1850866657089146912 19 41.7879 -87.5905
a3b23785-a135-11e9-9cda-0a87ae2ba916 11 41.7794 -87.6648
a3b2d7d9-a135-11e9-9cda-0a87ae2ba916 11 41.8057 -87.6834
a3acdae2-a135-11e9-9cda-0a87ae2ba916 11 41.7801 -87.6297
a3aa8ca0-a135-11e9-9cda-0a87ae2ba916 15 41.9542 -87.6644
a3ac35ed-a135-11e9-9cda-0a87ae2ba916 11 41.7735 -87.5771
a3b481e1-a135-11e9-9cda-0a87ae2ba916 15 41.8992 -87.6722
a3afbe2e-a135-11e9-9cda-0a87ae2ba916 15 41.9543 -87.6861
a3a48d5c-a135-11e9-9cda-0a87ae2ba916 23 41.9164 -87.6667
a3b11480-a135-11e9-9cda-0a87ae2ba916 11 41.8878 -87.7555
90011328-f7bd-4b7b-8f95-8204a0b50f27 11 41.8974 -87.6344
a3aa0bb7-a135-11e9-9cda-0a87ae2ba916 15 41.9784 -87.6598
a3a96aca-a135-11e9-9cda-0a87ae2ba916 11 41.8271 -87.6457
a3b477ac-a135-11e9-9cda-0a87ae2ba916 15 41.9799 -87.6819
