611
7500
0 40.3971 -3.6715
1406 47 40.4204 -3.7057
1407 39 40.4303 -3.7073
1408 47 40.4286 -3.7025
1409 47 40.4285 -3.7021
1410 39 40.4241 -3.6984
1411 39 40.4252 -3.6978
1412 44 40.4279 -3.6954
1413 44 40.4156 -3.7095
1414 23 40.4254 -3.6921
1415 43 40.4270 -3.7036
1416 47 40.4285 -3.7061
1417 43 40.4273 -3.7105
1418 47 40.4260 -3.7133
1419 39 40.4262 -3.7074
1420 39 40.4229 -3.7075
1421 43 40.4231 -3.7042
1422 44 40.4209 -3.6997
1423 48 40.4219 -3.6955
1424 47 40.4188 -3.6952
1426 44 40.4203 -3.7082
1427 38 40.4178 -3.7106
1428 44 40.4174 -3.7058
1429 44 40.4174 -3.7059
1430 47 40.4239 -3.6945
1431 47 40.4133 -3.6957
1432 38 40.4181 -3.6985
1433 43 40.4164 -3.6957
1434 47 40.4192 -3.7115
1435 47 40.4164 -3.7069
1436 38 40.4150 -3.7061
1437 43 40.4166 -3.7033
1438 44 40.4147 -3.7037
1439 44 40.4142 -3.7103
1440 44 40.4168 -3.7118
1441 44 40.4108 -3.7141
1442 47 40.4114 -3.7116
1443 51 40.4113 -3.7088
1444 38 40.4138 -3.7048
1445 39 40.4122 -3.6991
1446 47 40.4108 -3.6983
1447 38 40.4100 -3.7025
1448 40 40.4098 -3.7039
1449 39 40.4069 -3.7111
1450 47 40.4053 -3.7071
1451 44 40.4046 -3.7028
1452 44 40.4055 -3.7021
1453 47 40.4061 -3.6993
1454 44 40.4084 -3.6933
1455 47 40.4076 -3.6935
1456 35 40.4144 -3.7007
1457 44 40.4083 -3.7008
1458 39 40.4266 -3.7004
1459 44 40.4240 -3.7021
1460 23 40.4184 -3.7032
1461 43 40.4296 -3.7126
1462 47 40.4223 -3.6979
1463 39 40.4255 -3.7043
1464 43 40.4198 -3.6884
1465 47 40.4215 -3.6753
1466 47 40.4213 -3.6725
1467 43 40.4179 -3.6709
1468 44 40.4167 -3.6894
1469 43 40.4108 -3.6932
1470 39 40.4128 -3.6913
1471 47 40.4098 -3.6888
1472 47 40.4154 -3.6779
1473 23 40.4161 -3.6739
1474 43 40.4159 -3.6696
1475 43 40.4115 -3.6687
1476 47 40.4121 -3.6766
1477 47 40.4083 -3.6785
1478 44 40.4073 -3.6751
1479 38 40.4065 -3.6707
1480 33 40.4006 -3.6745
1481 47 40.4051 -3.6804
1484 44 40.4093 -3.6918
1485 43 40.4085 -3.6698
1486 43 40.4133 -3.6745
1487 43 40.4036 -3.6725
1488 47 40.4213 -3.6799
1489 44 40.4187 -3.6933
1490 43 40.4277 -3.6833
1491 43 40.4314 -3.6838
1492 43 40.4273 -3.6752
1493 47 40.4251 -3.6838
1494 43 40.4260 -3.6786
1495 43 40.4263 -3.6865
1496 43 40.4258 -3.6893
1497 43 40.4232 -3.6908
1498 43 40.4225 -3.6869
1499 47 40.4220 -3.6822
1500 47 40.4225 -3.6803
1501 44 40.4241 -3.6758
1502 43 40.4260 -3.6740
1503 47 40.4248 -3.6738
1504 44 40.4231 -3.6697
1505 43 40.4212 -3.6842
1506 43 40.4305 -3.6867
1507 42 40.4268 -3.6896
1508 43 40.4271 -3.6875
1510 39 40.4248 -3.6879
1511 43 40.4216 -3.6884
1512 47 40.4274 -3.6707
1513 43 40.4301 -3.6815
1514 43 40.4347 -3.7201
1515 43 40.4336 -3.7175
1516 43 40.4339 -3.7177
1517 43 40.4327 -3.7247
1518 44 40.4275 -3.7207
1519 43 40.4278 -3.7175
1520 43 40.4253 -3.7171
1521 38 40.4237 -3.7130
1522 38 40.4237 -3.7105
1523 43 40.4310 -3.7189
1524 43 40.4008 -3.6882
1525 43 40.4013 -3.6863
1526 47 40.4031 -3.6948
1527 47 40.4017 -3.6986
1528 43 40.4295 -3.6964
1529 47 40.4306 -3.7133
1530 47 40.4310 -3.6994
1531 47 40.4353 -3.6948
1532 47 40.4346 -3.7018
1533 47 40.4339 -3.7084
1534 47 40.4392 -3.7154
1535 47 40.4384 -3.6982
1536 43 40.4416 -3.7016
1537 43 40.4418 -3.7040
1538 47 40.4464 -3.7036
