662
6800
0 19.4300 -99.1785
5 19 19.3673 -99.1587
6 27 19.3634 -99.1604
7 19 19.3649 -99.1630
8 31 19.3596 -99.1621
9 23 19.3678 -99.1753
10 23 19.3647 -99.1744
11 27 19.3710 -99.1761
12 27 19.3732 -99.1843
14 35 19.4248 -99.1721
15 23 19.4338 -99.1309
16 27 19.3706 -99.1566
17 23 19.3770 -99.1588
18 35 19.3725 -99.1716
19 19 19.3848 -99.1670
20 34 19.3681 -99.1644
21 23 19.3755 -99.1780
22 23 19.3855 -99.1837
23 35 19.3725 -99.1645
24 35 19.3754 -99.1638
25 23 19.3794 -99.1628
26 19 19.3821 -99.1811
27 21 19.3811 -99.1867
28 11 19.3671 -99.1706
29 31 19.3695 -99.1794
30 19 19.3989 -99.1833
31 15 19.3963 -99.1836
32 19 19.3780 -99.1703
33 27 19.3637 -99.1712
34 19 19.3620 -99.1727
35 31 19.3759 -99.1682
36 19 19.3649 -99.1760
37 31 19.3770 -99.1611
38 23 19.3759 -99.1856
39 19 19.3854 -99.1782
40 31 19.3731 -99.1671
41 23 19.3823 -99.1789
42 19 19.3743 -99.1805
43 19 19.3796 -99.1814
44 47 19.3732 -99.1782
45 26 19.3949 -99.1730
46 31 19.3788 -99.1769
47 23 19.3817 -99.1767
48 23 19.3876 -99.1810
49 59 19.3586 -99.1561
50 19 19.3631 -99.1583
51 27 19.3702 -99.1739
52 35 19.3612 -99.1624
53 23 19.3801 -99.1643
55 23 19.3650 -99.1555
56 35 19.3698 -99.1722
57 23 19.3844 -99.1720
58 30 19.3706 -99.1816
59 27 19.3937 -99.1758
60 27 19.3807 -99.1750
61 35 19.3733 -99.1725
62 35 19.3937 -99.1757
63 19 19.3856 -99.1808
64 31 19.3977 -99.1730
65 31 19.3936 -99.1782
66 27 19.3927 -99.1837
67 23 19.3882 -99.1697
68 23 19.3889 -99.1777
69 35 19.3870 -99.1734
70 19 19.3873 -99.1656
71 35 19.4152 -99.1666
72 31 19.4099 -99.1796
73 23 19.4118 -99.1760
74 15 19.3841 -99.1608
75 19 19.3894 -99.1826
76 27 19.3914 -99.1737
77 31 19.3829 -99.1584
78 23 19.3932 -99.1684
79 35 19.4105 -99.1728
80 23 19.4206 -99.1682
81 19 19.4087 -99.1699
82 27 19.4130 -99.1669
83 35 19.4171 -99.1656
84 35 19.4114 -99.1713
85 15 19.4065 -99.1723
86 27 19.4079 -99.1687
87 31 19.4075 -99.1743
88 23 19.4221 -99.1606
89 39 19.4169 -99.1756
90 27 19.4118 -99.1785
91 23 19.4224 -99.1642
92 15 19.4148 -99.1784
93 39 19.4191 -99.1697
94 27 19.4189 -99.1769
95 39 19.4141 -99.1772
96 39 19.3939 -99.1717
97 45 19.4113 -99.1698
98 35 19.4242 -99.1561
99 23 19.4285 -99.1338
100 23 19.4268 -99.1350
101 15 19.4282 -99.1395
102 27 19.4292 -99.1328
103 27 19.4299 -99.1459
104 59 19.4273 -99.1495
105 31 19.4255 -99.1463
106 35 19.4349 -99.1503
107 35 19.4251 -99.1434
108 35 19.4367 -99.1348
109 19 19.4374 -99.1376
110 23 19.4328 -99.1517
111 19 19.4365 -99.1398
112 15 19.4338 -99.1353
113 31 19.4316 -99.1585
114 31 19.4253 -99.1374
115 15 19.4304 -99.1544
116 27 19.4242 -99.1531
117 27 19.4376 -99.1547
118 21 19.4353 -99.1478
119 31 19.4268 -99.1686
120 27 19.4273 -99.1667
121 23 19.4290 -99.1566
122 31 19.4295 -99.1628
123 23 19.4298 -99.1695
124 43 19.4249 -99.1725
125 29 19.4363 -99.1584
126 27 19.4382 -99.1659
127 33 19.4408 -99.1523
128 71 19.4410 -99.1529
129 35 19.4371 -99.1619
130 69 19.4425 -99.1517
131 23 19.4254 -99.1752
132 31 19.4393 -99.1601
133 27 19.4299 -99.1597
134 70 19.4427 -99.1530
135 41 19.4246 -99.1635
136 15 19.4322 -99.1617
137 15 19.4310 -99.1670
138 23 19.4207 -99.1565
139 27 19.4152 -99.1548
140 27 19.4122 -99.1584
141 74 19.4437 -99.1525
142 23 19.4305 -99.1712
143 27 19.4188 -99.1571
144 23 19.4161 -99.1621
145 31 19.4096 -99.1838
146 29 19.4128 -99.1828
147 19 19.4277 -99.1991
148 27 19.4327 -99.2057
149 27 19.4359 -99.1915
150 23 19.4379 -99.1972
151 27 19.4323 -99.1806
152 74 19.4075 -99.1554
153 23 19.4349 -99.1833
154 27 19.4314 -99.1958
155 27 19.4334 -99.1957
156 35 19.4339 -99.1881
157 19 19.4166 -99.1569
158 23 19.4305 -99.2033
159 27 19.4297 -99.1936
160 35 19.4372 -99.2079
161 27 19.4344 -99.2032
162 23 19.4325 -99.1880
163 23 19.4411 -99.1959
164 49 19.4259 -99.1907
165 19 19.4424 -99.1998
166 31 19.4249 -99.1852
167 15 19.4254 -99.1595
168 23 19.4143 -99.1575
169 31 19.4099 -99.1643
170 23 19.4055 -99.1649
171 37 19.4279 -99.1612
172 39 19.4015 -99.1564
173 35 19.4227 -99.1700
174 19 19.4271 -99.1583
175 31 19.4183 -99.1599
176 17 19.4242 -99.1665
177 23 19.4043 -99.1605
178 27 19.4044 -99.1714
179 23 19.3974 -99.1646
180 35 19.4204 -99.1727
181 19 19.4070 -99.1630
182 19 19.3998 -99.1775
183 19 19.4196 -99.1613
184 23 19.4264 -99.1643
185 11 19.4150 -99.1748
186 27 19.4154 -99.1719
187 23 19.4006 -99.1725
188 19 19.4128 -99.1551
189 19 19.4088 -99.1817
190 23 19.4061 -99.1835
191 19 19.4387 -99.2076
192 23 19.4017 -99.1764
193 34 19.4223 -99.1621
194 27 19.4233 -99.1583
195 27 19.4046 -99.1700
196 27 19.4404 -99.1868
197 23 19.4046 -99.1794
198 27 19.4383 -99.1929
199 35 19.4091 -99.1672
200 27 19.4376 -99.1888
201 31 19.4401 -99.2100
202 15 19.4259 -99.2042
203 27 19.4427 -99.1908
204 27 19.4344 -99.2063
205 30 19.4062 -99.1666
206 27 19.4275 -99.2084
207 31 19.4293 -99.2072
