801
10000
0 45.5299 -73.6018
1 19 45.5096 -73.5574
2 19 45.5394 -73.5410
3 19 45.5109 -73.5675
4 23 45.5097 -73.5540
5 19 45.5259 -73.6500
6 19 45.5600 -73.5770
7 31 45.5117 -73.5621
8 47 45.5129 -73.5612
9 23 45.4981 -73.5776
10 15 45.6112 -73.5312
11 23 45.5133 -73.5506
12 35 45.5014 -73.5717
13 31 45.5134 -73.5626
14 43 45.5137 -73.5603
15 26 45.5143 -73.5617
16 27 45.4726 -73.5398
17 31 45.5206 -73.5639
18 19 45.5189 -73.5635
19 27 45.5181 -73.5680
20 27 45.5137 -73.5667
21 27 45.5212 -73.5624
22 51 45.5109 -73.5498
23 23 45.5993 -73.5123
24 15 45.5071 -73.5551
25 81 45.5076 -73.5518
26 27 45.5021 -73.5735
28 19 45.4807 -73.5835
30 18 45.5046 -73.5593
31 29 45.5063 -73.5597
32 15 45.5226 -73.5935
34 34 45.5053 -73.5609
35 43 45.5042 -73.5535
36 23 45.5020 -73.5552
37 19 45.5000 -73.5562
38 23 45.5009 -73.5590
39 23 45.5029 -73.5606
40 31 45.5014 -73.5601
41 27 45.5006 -73.5654
42 19 45.5021 -73.5630
43 23 45.5216 -73.5704
45 31 45.4983 -73.5673
46 27 45.5081 -73.5749
47 15 45.4989 -73.5573
48 39 45.4976 -73.5553
49 23 45.4984 -73.5606
50 19 45.5315 -73.6031
51 71 45.4975 -73.5528
52 27 45.5082 -73.5688
55 26 45.4979 -73.5686
56 35 45.4993 -73.5718
57 39 45.4979 -73.5708
58 33 45.5078 -73.5631
59 27 45.5010 -73.5705
60 27 45.4986 -73.5743
61 47 45.4995 -73.5760
62 49 45.5004 -73.5751
63 19 45.5000 -73.5794
64 19 45.5137 -73.5384
65 23 45.5625 -73.6166
67 39 45.5065 -73.5764
68 37 45.5052 -73.5707
69 15 45.5567 -73.5302
71 27 45.5053 -73.5675
72 31 45.4739 -73.6047
73 27 45.4958 -73.5769
74 19 45.5499 -73.5831
75 39 45.5043 -73.5689
76 15 45.4957 -73.5546
77 47 45.4954 -73.5633
78 23 45.5280 -73.5950
79 17 45.4949 -73.5711
80 19 45.4917 -73.5768
81 31 45.4960 -73.5733
82 27 45.5354 -73.6036
83 35 45.4895 -73.5845
84 27 45.4918 -73.5839
85 23 45.4935 -73.5685
86 23 45.4923 -73.5810
87 19 45.4966 -73.5762
88 31 45.5099 -73.5638
89 39 45.4968 -73.5791
90 26 45.4790 -73.6196
91 15 45.4930 -73.5839
92 23 45.5389 -73.5528
93 23 45.5163 -73.5529
94 19 45.5186 -73.5522
95 36 45.5210 -73.5500
96 31 45.4938 -73.5792
97 19 45.5284 -73.5512
98 19 45.5026 -73.5275
99 19 45.5301 -73.5456
100 19 45.5271 -73.5480
101 19 45.5191 -73.5579
102 19 45.5212 -73.5536
103 32 45.5238 -73.5524
104 23 45.4669 -73.6315
105 19 45.5236 -73.5610
106 21 45.5054 -73.5704
107 23 45.5244 -73.5605
108 35 45.5270 -73.5582
109 23 45.5337 -73.5522
110 27 45.5346 -73.5548
111 19 45.5301 -73.5494
112 19 45.5233 -73.5580
113 19 45.5318 -73.5535
114 31 45.4997 -73.6292
115 27 45.5321 -73.5588
116 23 45.5379 -73.6182
117 11 45.5353 -73.5512
118 15 45.5367 -73.5608
119 39 45.5341 -73.5627
120 23 45.5355 -73.5659
121 19 45.5299 -73.5630
122 25 45.5093 -73.5710
123 47 45.5075 -73.5786
124 19 45.5098 -73.5761
125 23 45.5430 -73.5626
126 23 45.4912 -73.5876
127 23 45.5333 -73.6058
128 19 45.5320 -73.6070
129 19 45.5446 -73.5717
130 27 45.5388 -73.5887
131 15 45.5467 -73.6080
132 19 45.5518 -73.6035
133 27 45.5018 -73.5743
134 19 45.5224 -73.5812
135 15 45.5384 -73.5620
136 39 45.5291 -73.5592
137 23 45.5281 -73.5884
138 23 45.5297 -73.5673
139 19 45.5317 -73.5654
140 15 45.5329 -73.5638
141 15 45.5298 -73.5703
142 19 45.5333 -73.5667
143 30 45.5278 -73.5719
144 29 45.5269 -73.5726
145 22 45.5245 -73.5720
146 19 45.5232 -73.5692
147 19 45.5248 -73.5654
148 23 45.5278 -73.5659
149 19 45.5387 -73.5694
150 26 45.5371 -73.5710
151 23 45.5364 -73.5714
152 22 45.5341 -73.5735
153 23 45.5318 -73.5724
154 23 45.5322 -73.5754
155 31 45.5302 -73.5770
156 19 45.5276 -73.5763
157 23 45.5293 -73.5779
158 15 45.5297 -73.5829
159 15 45.4945 -73.5568
160 19 45.5330 -73.5813
161 19 45.5358 -73.5787
162 31 45.5295 -73.6049
163 27 45.5354 -73.5822
164 27 45.5333 -73.5837
165 31 45.5324 -73.5848
166 23 45.5326 -73.5899
167 27 45.5358 -73.5871
168 27 45.5308 -73.5985
169 27 45.5274 -73.5799
170 23 45.5304 -73.5865
171 23 45.5196 -73.5601
173 39 45.5193 -73.5693
174 26 45.5191 -73.5727
