2176
32000
0 40.6569 -74.0081
1799624430022654108 19 40.6749 -74.0105
c638ec67-9ac0-416f-944f-619926144931 87 40.7508 -73.9783
66de0cab-0aca-11e7-82f6-3863bb44ef7c 37 40.6747 -74.0076
1846086362824884662 25 40.7365 -73.8700
1bb1af93-b433-4da7-8054-009c85f7755a 19 40.8302 -73.9287
66dd4ccc-0aca-11e7-82f6-3863bb44ef7c 51 40.7758 -73.9762
b4b5824b-3c23-44b7-92a3-cec6a54583a0 21 40.8390 -73.9109
1875415144760576328 3 40.8800 -73.9054
66dbf288-0aca-11e7-82f6-3863bb44ef7c 20 40.6951 -73.9960
66db3053-0aca-11e7-82f6-3863bb44ef7c 71 40.7147 -74.0091
0bd9bd58-42e6-4680-9d19-83943372221f 22 40.6382 -74.0138
84a7baff-415b-4ab9-a859-74c2801483ce 19 40.7138 -73.9351
66de17f7-0aca-11e7-82f6-3863bb44ef7c 39 40.7974 -73.9704
90b141b9-c39f-4a26-a32d-08c7d1474d52 22 40.8166 -73.8882
66de0a78-0aca-11e7-82f6-3863bb44ef7c 19 40.6725 -74.0049
66de13dc-0aca-11e7-82f6-3863bb44ef7c 35 40.7895 -73.9524
83a5d761-57d0-4cd6-aa2b-7eb350120d99 21 40.8276 -73.8867
f5393bc2-36d4-4508-bf51-fa48d121f751 27 40.7409 -73.9027
1859438049977968878 31 40.8340 -73.9451
59b747c1-fbfb-4a3d-9394-8d06834d7c98 21 40.8631 -73.9270
66dbef15-0aca-11e7-82f6-3863bb44ef7c 37 40.6917 -74.0000
1864605386632012480 19 40.8547 -73.8902
1815967442754883940 30 40.6507 -73.9499
1871698223344654662 25 40.7067 -73.9612
b96507c5-7c90-499d-9c45-58f25d6f636a 20 40.8393 -73.9224
66de1ea2-0aca-11e7-82f6-3863bb44ef7c 23 40.6741 -73.9787
faf98f78-51ab-4248-b7e7-f402902385a6 18 40.7494 -73.8974
1814548067447122618 35 40.7269 -73.9586
1828968883163894358 20 40.7654 -73.8826
93da4d1b-d574-45b0-85d7-5b82e2887267 21 40.6405 -74.0256
66dc3e89-0aca-11e7-82f6-3863bb44ef7c 65 40.7439 -73.9797
66de0861-0aca-11e7-82f6-3863bb44ef7c 31 40.7849 -73.9505
1871698348432996504 23 40.7058 -73.9633
66dcc37f-0aca-11e7-82f6-3863bb44ef7c 23 40.6883 -73.9509
66dd1c7f-0aca-11e7-82f6-3863bb44ef7c 51 40.7256 -73.9443
8d650b03-920d-4d44-a48f-8d9a1a0ba264 21 40.8565 -73.9330
1854538962214948918 20 40.7421 -73.8542
943a1a27-1328-4823-8945-28d845280383 29 40.8679 -73.9197
1840540852548303628 18 40.7652 -73.8648
3d68a3fd-91da-49e8-9cd5-69b333863789 21 40.8601 -73.9285
16e70b05-5b73-4930-9dcf-f79e5ce9eaf5 23 40.6512 -74.0114
1835246937517543544 20 40.7659 -73.8779
c4e9905f-457b-4be0-a878-2aa53fa0b09b 24 40.7049 -73.9199
66ddeaff-0aca-11e7-82f6-3863bb44ef7c 31 40.7942 -73.9741
dccaeeb5-c53a-4f48-80e6-05675b71a8c8 31 40.8097 -73.9531
0fde06c2-632c-46a9-8866-f4e855604f74 68 40.7530 -73.9873
66dde76a-0aca-11e7-82f6-3863bb44ef7c 25 40.7881 -73.9521
e85c3165-ad0a-44a3-9683-d8cf7575f465 30 40.6485 -73.9706
6476c5fd-611e-436c-9736-e0f43bb7774e 19 40.8211 -73.8951
0de1f95f-8b1b-4e5e-9eff-73c63265b0ab 29 40.7655 -73.9181
1b038e21-e199-4c47-bef0-f4bcdc06b73b 44 40.7170 -74.0092
61f2ffd4-159a-42b3-a4d9-3fdfc3349074 22 40.6886 -73.9123
1849009654626746672 19 40.7389 -73.8637
1838071008881986168 30 40.7548 -73.8549
66dbcd6c-0aca-11e7-82f6-3863bb44ef7c 33 40.6933 -73.9689
99614ecb-2329-49fa-a13a-fa1ef2bb32d6 21 40.8400 -73.9055
d2b23c87-b7c3-48c2-a634-db4b76ecbcf7 20 40.6767 -73.9305
33840944-aa92-4d91-9de8-d29e5cd0b2d9 33 40.6854 -73.9913
66dd17a5-0aca-11e7-82f6-3863bb44ef7c 51 40.7248 -73.9475
66dbc37a-0aca-11e7-82f6-3863bb44ef7c 61 40.7185 -73.9833
66dc81ce-0aca-11e7-82f6-3863bb44ef7c 75 40.7571 -73.9721
69717638-5c4a-47a7-bccb-3b42c81eb09f 19 40.7237 -73.9046
66db9e99-0aca-11e7-82f6-3863bb44ef7c 19 40.7178 -73.9763
1860189327773878824 25 40.8516 -73.8847
