555
7000
0 37.7883 -122.3915
c53990d7-f965-40f4-b305-3435e1c95a71 19 37.346480 -121.868570
bae9be55-04d4-4641-9781-3d1c4b6950f1 15 37.339301 -121.889937
ed707a89-a68d-4921-a4cb-16c268e45a5b 22 37.337122 -121.883215
7d59176c-49dd-4b07-a5ab-bcc109974db3 19 37.360001 -121.878778
46b4ef45-b06b-40eb-9fdf-9bc8ff104a4f 15 37.323678 -121.874119
0d730ac1-7ce6-45cf-aca6-b412ea46709d 27 37.350964 -121.902016
ab8cc22e-0f34-4476-bf81-293cbbb2e69c 27 37.360854 -121.906834
0d48fc9e-6798-46f0-bbb6-67a168800e0b 15 37.342997 -121.888889
d75591d7-080d-46cb-8ada-0fbe6af676fc 22 37.336775 -121.909149
68c89d1f-407a-4550-a2b7-ecf0ad7ee422 19 37.323345 -121.913497
6994e1e6-bb3c-4309-8207-52e6004a7302 23 37.365536 -121.867966
dc2f7685-c3e3-4536-b78b-740479cbb207 35 37.329732 -121.901782
30429aed-9a47-4fd9-87fa-0db835aa8265 19 37.343985 -121.874385
8941eac9-fb07-4d76-b623-fae2af79139e 23 37.350902 -121.895843
4e704be5-b76d-44a5-8d05-a9ba3e5ae20e 19 37.311284 -121.896325
14f62ff9-1893-4379-8fe4-db578da909ee 19 37.326282 -121.904911
3ebc4f3f-2941-47cd-a173-83f01a91bf57 15 37.341335 -121.903183
d6c452d5-88d5-48e2-8028-d46134c2beb8 27 37.327581 -121.884559
218e755d-c0d3-4b33-8afc-b4b0e8ab3a41 19 37.343208 -121.884390
3794a34d-764a-4af1-80db-1b0e0ce13fed 19 37.355030 -121.904436
0fd9a51c-67ac-4048-b531-bff644b82f47 23 37.322125 -121.881090
6bcc6da3-b25b-4fea-9c30-3eb88e282574 19 37.330264 -121.897702
bd05ae96-7adc-422d-84ea-697cd3b73afc 31 37.347712 -121.890553
393ec80c-da84-4d7a-9452-e77f8de7caf2 23 37.352601 -121.905733
d28bb0a7-8dc5-49be-86c7-9a3395eed019 23 37.331932 -121.904888
