792
9000
0 43.6528 -79.3773
7000 35 43.6398 -79.3960
7001 23 43.6650 -79.3836
7002 19 43.6673 -79.3994
7003 15 43.6672 -79.4028
7005 23 43.6480 -79.3832
7006 19 43.6604 -79.3855
7007 19 43.6581 -79.3982
7008 19 43.6634 -79.3921
7009 25 43.6503 -79.3723
7010 19 43.6453 -79.3950
7012 15 43.6560 -79.3853
7013 19 43.6466 -79.3753
7014 17 43.6631 -79.3732
7015 39 43.6485 -79.3806
7016 35 43.6410 -79.3768
7017 12 43.6475 -79.3916
7018 23 43.6415 -79.3867
7019 27 43.6509 -79.3795
7020 33 43.6500 -79.3966
7021 35 43.6533 -79.3825
7022 39 43.6505 -79.3873
7023 11 43.6571 -79.4056
7024 39 43.6666 -79.3815
7025 23 43.6713 -79.3805
7026 15 43.6655 -79.3875
7027 31 43.6528 -79.3934
7028 31 43.6582 -79.3768
7029 15 43.6694 -79.3892
7030 51 43.6641 -79.3871
7031 23 43.6690 -79.3794
7032 15 43.6525 -79.4015
7033 43 43.6456 -79.3804
7034 15 43.6714 -79.3829
7035 31 43.6440 -79.4196
7036 19 43.6513 -79.3602
7037 27 43.6519 -79.4058
7038 31 43.6561 -79.3815
7039 19 43.6523 -79.3883
7040 19 43.6645 -79.4148
7041 23 43.6567 -79.3827
7042 31 43.6673 -79.3740
7043 19 43.6395 -79.3837
7044 27 43.6637 -79.3803
7045 37 43.6532 -79.3767
7046 42 43.6453 -79.4096
7047 24 43.6578 -79.3892
7048 47 43.6461 -79.3780
7049 15 43.6476 -79.4015
7050 16 43.6526 -79.3742
7052 55 43.6473 -79.3799
7053 27 43.6459 -79.3878
7054 11 43.6407 -79.3911
7055 15 43.6621 -79.3762
7057 27 43.6459 -79.3854
7058 19 43.6637 -79.4001
7059 15 43.6435 -79.3905
7061 15 43.6663 -79.4066
7063 23 43.6685 -79.3939
7064 19 43.6521 -79.3622
7065 15 43.6596 -79.3658
7066 17 43.6621 -79.3977
7068 22 43.6831 -79.2797
7069 11 43.6491 -79.3955
7070 11 43.6437 -79.3804
7071 23 43.6662 -79.3733
7072 23 43.6366 -79.4000
7073 23 43.6401 -79.3932
7074 15 43.6500 -79.3734
7075 26 43.6365 -79.3959
7076 57 43.6401 -79.3805
7077 19 43.6598 -79.3828
7078 15 43.6576 -79.4032
7079 19 43.6607 -79.3791
7083 15 43.6883 -79.3005
7084 11 43.6456 -79.4657
7085 15 43.6873 -79.3048
7086 23 43.6519 -79.4657
7087 11 43.6848 -79.3168
7088 15 43.6834 -79.3230
7089 18 43.6627 -79.3799
7090 19 43.6820 -79.3295
7091 15 43.6811 -79.3374
7093 24 43.6784 -79.3463
7094 25 43.6785 -79.3514
7095 14 43.6771 -79.3567
7096 19 43.7027 -79.3337
7097 15 43.6712 -79.3547
7099 15 43.6514 -79.3579
7100 27 43.6602 -79.3613
7101 27 43.6487 -79.3671
7102 31 43.6487 -79.3897
7103 15 43.6606 -79.3438
7104 15 43.6568 -79.3563
7105 15 43.6561 -79.3614
7106 27 43.6522 -79.3545
7107 15 43.6503 -79.3568
7108 15 43.6527 -79.3584
7109 32 43.6588 -79.3696
7110 15 43.6553 -79.3658
7111 11 43.6409 -79.4164
7112 19 43.6380 -79.4241
7113 15 43.6653 -79.3683
7114 27 43.6645 -79.3679
7115 15 43.6713 -79.3764
7116 19 43.6719 -79.3725
7117 19 43.6747 -79.3670
7118 19 43.6486 -79.3800
7119 15 43.6659 -79.3625
7120 11 43.6640 -79.3585
7121 27 43.6573 -79.3748
7122 15 43.6414 -79.4044
7123 15 43.6438 -79.3966
7124 19 43.6624 -79.3511
7126 17 43.6719 -79.3878
7127 15 43.6722 -79.3902
7128 22 43.6755 -79.3889
7129 11 43.6750 -79.3963
7130 15 43.6744 -79.3983
7131 15 43.6699 -79.3984
7132 9 43.6703 -79.4052
7133 11 43.6819 -79.3906
7135 19 43.6384 -79.4197
7137 27 43.6767 -79.4161
7138 27 43.6753 -79.4239
7139 14 43.6778 -79.4056
7140 15 43.6758 -79.4070
7141 15 43.6756 -79.4103
7142 15 43.6744 -79.4147
7143 15 43.6715 -79.4083
7144 15 43.6714 -79.4164
7146 19 43.6800 -79.4250
7147 15 43.6394 -79.4253
7148 23 43.6394 -79.4236
7149 11 43.6700 -79.4208
7150 19 43.6556 -79.4336
7151 19 43.6686 -79.4203
7152 11 43.6617 -79.4257
7153 19 43.6639 -79.4189
7154 23 43.6667 -79.4117
7155 19 43.6638 -79.4105
7156 15 43.6608 -79.4317
7157 23 43.6608 -79.4358
7158 15 43.6422 -79.4111
7160 19 43.6433 -79.4056
7161 23 43.6575 -79.3953
7162 22 43.6592 -79.3856
7163 15 43.6622 -79.3825
7164 23 43.6574 -79.3810
7168 31 43.6416 -79.3753
7169 11 43.6462 -79.3789
7170 15 43.6617 -79.4014
7171 27 43.6322 -79.4108
7172 19 43.6350 -79.4089
7173 19 43.6667 -79.4583
7174 15 43.6564 -79.4517
7175 27 43.6380 -79.3875
7176 19 43.6392 -79.3996
7178 15 43.6572 -79.4526
7180 23 43.6592 -79.4432
7181 15 43.6539 -79.4414
7182 19 43.6508 -79.4431
7183 15 43.6512 -79.4387
7184 11 43.6545 -79.4226
7188 15 43.6377 -79.4202
7189 15 43.6538 -79.4017
7190 15 43.6637 -79.3981
7191 11 43.6620 -79.4079
7192 15 43.6604 -79.4156
7193 15 43.6431 -79.4288
7194 23 43.6906 -79.3263
7195 11 43.6600 -79.4089
7196 10 43.6591 -79.4230
7197 11 43.6439 -79.4228
7198 18 43.6409 -79.4328
7199 19 43.6564 -79.4092
7202 23 43.6518 -79.3827
7203 35 43.6355 -79.3983
7204 19 43.6550 -79.4189
7205 15 43.6528 -79.4297
7206 13 43.6513 -79.4117
7207 47 43.6497 -79.4169
7208 15 43.6563 -79.4147
7209 19 43.6511 -79.4214
7210 15 43.6475 -79.4331
7211 15 43.6374 -79.4061
7216 23 43.6410 -79.4097
7217 15 43.6495 -79.3935
7220 19 43.6359 -79.4651
7221 11 43.6544 -79.4655
7222 27 43.6379 -79.4548
7223 12 43.6545 -79.4601
7224 23 43.6535 -79.4651
7225 19 43.6349 -79.4678
7226 19 43.6367 -79.4450
7227 31 43.6314 -79.4304
7228 19 43.6373 -79.4423
7229 12 43.6534 -79.4513
7230 19 43.6438 -79.4479
7231 18 43.6467 -79.4427
7232 16 43.6403 -79.4392
7233 16 43.6379 -79.4317
7234 19 43.6505 -79.4508
7235 12 43.6601 -79.3857
7236 24 43.6595 -79.3503
7237 15 43.6629 -79.4462
7238 16 43.6492 -79.4445
7239 20 43.6639 -79.4161
7240 34 43.6624 -79.4231
7242 35 43.6303 -79.4203
7243 14 43.6352 -79.4188
7244 16 43.6335 -79.4257
7245 9 43.6466 -79.4065
7246 14 43.6700 -79.3865
7247 12 43.6521 -79.4486
7248 20 43.6549 -79.3984
7249 16 43.6511 -79.4237
7250 16 43.6603 -79.3971
7252 18 43.6658 -79.4050
7253 12 43.6461 -79.3895
7256 12 43.6484 -79.3984
7257 19 43.6545 -79.3895
7258 15 43.6627 -79.3324
7259 19 43.6385 -79.3919
7260 15 43.6472 -79.3953
7261 26 43.6452 -79.3649
7262 16 43.6809 -79.4230
7263 20 43.6578 -79.3863
7264 15 43.6715 -79.3792
7265 12 43.6613 -79.4495
7266 20 43.6940 -79.2890
7267 16 43.6583 -79.3723
7268 16 43.6569 -79.3785
7269 20 43.6554 -79.3807
7270 20 43.6570 -79.3773
7271 18 43.6629 -79.3836
7272 12 43.6658 -79.3848
7273 20 43.6682 -79.3889
7274 16 43.6618 -79.3897
7276 11 43.6698 -79.3880
7277 20 43.6856 -79.3718
7278 15 43.6659 -79.3344
7279 16 43.6880 -79.3891
7280 20 43.6696 -79.3812
7281 20 43.6684 -79.3872
7283 19 43.6459 -79.3788
7284 24 43.6478 -79.3848
