City,Q,Ub Alns,Drv,Time Alns,Ub DHIN,Lb DHIN,Gap: Alns-Exact,Gap: Alns-Lb,ExactOpt,AlnsOpt,,,Gap Alns-Exact,Gap Alns-Lb Gap,Time,AlnsOpt
Bari,10,20600,2,0.55,20600,20600,0.0%,0.0%,1,1,,Average,1.3%,4.0%,6.7,42
Bari,20,15700,1,0.56,15700,15700,0.0%,0.0%,1,1,,,,,,
Bari,30,14600,1,0.53,14600,14600,0.0%,0.0%,1,1,,,,,,
Bergamo,12,13500,2,0.72,13500,13500,0.0%,0.0%,1,1,,,,,,
Bergamo,20,12700,2,0.67,12700,12700,0.0%,0.0%,1,1,,,,,,
Bergamo,30,12600,1,0.63,12600,12600,0.0%,0.0%,1,1,,,,,,
Boston,16,84501,2,8.93,75065,74787.2595,12.6%,13.0%,0,0,,,,,,
Boston,20,76419,2,8.94,71879,71879,6.3%,6.3%,1,0,,,,,,
Boston,30,66817,1,8.78,65669,65669,1.7%,1.7%,1,0,,,,,,
Brescia,11,35200,4,1.67,35200,35200,0.0%,0.0%,1,1,,,,,,
Brescia,20,31100,3,1.66,31100,31100,0.0%,0.0%,1,1,,,,,,
Brescia,30,30300,2,1.68,30300,30300,0.0%,0.0%,1,1,,,,,,
BuenosAires,20,91985,2,1.16,91619,91619,0.4%,0.4%,1,1,,,,,,
BuenosAires,30,80244,2,1.23,76999,76999,4.2%,4.2%,1,0,,,,,,
CiudadDeMexico,17,123132,7,19.88,109573,99097.8212,12.4%,24.3%,0,0,,,,,,
CiudadDeMexico,20,112983,6,20.19,116418,88954.9938,-3.0%,27.0%,0,0,,,,,,
CiudadDeMexico,30,81993,4,20.82,88227,67890.6765,-7.1%,20.8%,0,0,,,,,,
Denver,10,68667,4,6.47,67459,67459,1.8%,1.8%,1,0,,,,,,
Denver,20,53846,2,6.22,53465,53465,0.7%,0.7%,1,1,,,,,,
Denver,30,51583,2,6,51583,51583,0.0%,0.0%,1,1,,,,,,
Dublin,11,54827,6,4.75,54392,54392,0.8%,0.8%,1,1,,,,,,
Dublin,20,39786,4,4.73,39786,39786,0.0%,0.0%,1,1,,,,,,
Dublin,30,33548,3,4.67,33548,33548,0.0%,0.0%,1,1,,,,,,
Guadalajara,11,64981,4,3.7,64981,64981,0.0%,0.0%,1,1,,,,,,
Guadalajara,20,59493,3,3.75,59493,59493,0.0%,0.0%,1,1,,,,,,
